V1	V2	V3	V4	label
0	3.953672690008556	2.9899274729387946	-4.716795153197931	-3.8825283468037863	1
1	-3.728700769832816	-1.4319701260283233	2.1982344835494096	-4.332138530850064	0
2	-3.9293630819025878	-4.366735424477053	-3.762159908344482	4.0560604663519495	0
3	-4.121726765268264	-2.6784242425485054	3.052349691088587	-3.800885018348674	0
4	-3.66637837596581	-3.8214365774309607	-3.3182030896563317	2.020047591370605	0
5	-4.718178996570152	-0.10956649824252906	2.195776825064638	2.2353586895463695	1
6	2.0209419852597814	3.098596537535849	-2.900757055390602	-1.7401860019451068	1
7	-3.2905520344112142	-3.039821868505075	-2.3298649152060555	3.377345004108931	0
8	-2.9113020980365527	-3.207897697734813	-3.2560879798318334	3.6498691735231255	0
9	-2.8968806710098183	-3.36920823692076	3.3067303768254868	2.847622997890009	1
10	-2.5178411069208813	-3.3471896822008156	3.3845374705683193	-2.2871725195677404	0
11	-1.887809219648968	-2.2294823914031463	-3.845763061918629	2.574142710620971	0
12	-3.409964961213551	-3.4689699251987394	3.344655714424019	3.296561857778632	1
13	-1.1535176267388787	-6.082893104638238	3.5836052653991803	1.4004637825291946	1
14	2.2403482262084666	4.767199777726571	-1.6826819431053044	-2.3594412577854698	1
15	2.1561695753835286	3.5223480707756067	-2.218985652535828	-2.6474901873698875	1
16	-1.8058503521331442	-2.6577024914094887	1.8215986531367636	-3.0177396431921495	0
17	3.6868960374386037	2.452030754968407	-4.040409728530194	-3.540305298117272	1
18	3.0912184843499886	3.7695507079414847	-2.7681200511509876	-2.9259465415443398	1
19	-3.1408585208639166	-2.9809248062069185	3.0928333028530175	2.619075843429529	1
20	-2.9432893685266754	-3.2269258820818165	-3.3585668847097825	4.421906036585391	0
21	-2.704275956639518	-2.8847016124506633	-3.267567842580744	3.569346731461253	0
22	2.0594387394855374	1.9912259647121435	-1.0002657900461167	-1.3217255952736828	1
23	2.7959451246980187	2.6791385790873665	-3.3180802816287627	-2.9145737272520127	1
24	-3.075012143348063	-2.3357882432079444	-2.3514280684053483	1.3037023127360796	0
25	3.433260838746047	2.7162788891597534	-5.148981380561286	-3.9763463945177198	1
26	-0.2213685686192166	-2.1534907112515933	1.4483606019262383	-2.944926281464503	0
27	2.877058741520088	2.9729914492509373	-2.0105877648491663	-2.401235686020006	1
28	2.4930924620312975	2.741180593719657	-2.9171445950185806	-2.507763705653356	1
29	3.5224255373278828	3.512769771103694	-3.320735702836102	-4.326998580917449	1
30	-4.114023203067246	-4.042718115704539	-2.1129199575617066	3.7355659319206462	0
31	-1.9927775184072107	-3.3444247658245585	2.9963204200789386	4.374341852915253	1
32	-3.2824735271497767	-3.113044234465485	-2.790341257391525	2.195739000701793	0
33	-2.283900424621186	-2.31959146399037	2.2349702519923236	3.328803210559377	1
34	-0.849602627901445	-2.6441027872107807	1.93665845643082	-2.525081680998164	0
35	-1.8208164342956148	-1.8114841570819815	-3.6340673647429553	2.8837897072545675	0
36	3.1429151845667036	2.0432960274924437	-3.0268342851310814	-2.744630386048213	1
37	2.1120488428830795	3.5917345933048495	-2.971168008695865	-2.636980997564537	1
38	-1.769490736257267	-2.327535961419971	-3.299287152258224	3.845687632895526	0
39	-2.984873583790148	-1.9131855155269242	3.758616689037653	-3.064752139172112	0
40	-0.5423739550445754	-0.5666707674317504	-3.900871051884292	2.146137152751595	0
41	-3.6483591717326163	-2.4458745390621752	2.5095662719499465	-3.6558727423292594	0
42	-3.323125450863232	-2.697728238625226	3.2466196275416066	-3.028310893066034	0
43	-2.182949126921112	-2.3670495125434132	-3.279553834119445	2.8898634861900883	0
44	-1.3693281214778845	-1.3629788866757044	0.23041132809747955	-4.521496510389529	0
45	2.2258511917259045	4.673575076182422	-3.9283250380842887	-3.7371806925908415	1
46	-3.940313920371964	-2.234305329253699	2.458304641015904	-4.161392493601009	0
47	-3.8697180803119258	-2.004587191850942	1.3625701362680487	-4.796697494320789	0
48	-2.527102495436118	-2.1534612063542906	5.467290330309831	-1.9549518330853133	0
49	-0.7651731684741501	-0.5190789182912479	-3.817159650591943	-1.1919538306156232	0
50	-0.590548791439081	-3.34426931460574	1.2050643624604835	-2.6420911305172714	0
51	-2.668405449634089	-3.3800989908356764	3.6528674381394692	-2.388869903837243	0
52	-1.9661905888217353	-2.459674897929843	3.537588678714394	-2.6978327602195282	0
53	2.573480247730803	3.658921254847831	-3.69448886985275	-4.07072007635072	1
54	-1.4910435446524222	-3.3429595053315513	2.3452194069437313	-2.3993985438778376	0
55	-4.686380829951318	-4.226006254291839	-2.2688214711177577	3.638129565291018	0
56	-4.354457575178302	-2.6597479028046505	2.2440549182150775	1.6872539373512219	1
57	-3.7307160393713654	-3.7705400094374637	3.4482577691953242	1.2679280937201423	1
58	-3.0044030323063566	-2.801453935690273	3.6226007931909936	2.7364754384979957	1
59	-3.9558901762504464	-2.521858203907354	1.8987313975119977	-4.1950803932314225	0
60	-3.1468730893012227	-5.0630077276381416	3.4570665271313636	-1.7911723710714769	0
61	-2.977900193572756	-3.2105408356073757	-3.2889780172406233	2.4729981735103816	0
62	-5.654920661051437	-5.087247525042921	-1.5610137000935218	4.476847536835444	0
63	1.0349454946407608	-0.623176884869121	1.6588748006910088	-3.262587528043516	0
64	-5.1978628548041605	-4.297462645377293	-1.6591407710253048	2.936287965477404	0
65	-2.089309394654644	-2.3231658648662066	-3.565358542967079	1.5823292199727823	0
66	-3.043740508708635	-3.547556042614179	-3.8632439304201833	2.190667972121207	0
67	-1.8103441142160825	-0.9645182724571306	2.652481039849864	-3.259730878846818	0
68	-4.652815925198895	-1.6168671633975076	3.091882714073776	0.03270775857359354	1
69	-2.4983153139656005	-2.54122272478489	-3.2054881282175005	1.922429869437358	0
70	-3.1765914826423916	-3.356761680325831	3.3469479707043286	-2.825210914574863	0
